,M_Sign,F_Sign,p_hat,p-value
105,Gemini,Virgo,0.024752475247524754,0.1107
106,Gemini,Aries,0.034482758620689655,0.3117
107,Gemini,Cancer,0.0223463687150838,0.0879
108,Virgo,Leo,0.0861244019138756,0.0273
109,Virgo,Aquarius,0.034482758620689655,0.3684
110,Virgo,Sagittarius,0.04371584699453552,0.7406
111,Virgo,Scorpio,0.07692307692307693,0.1402
112,Virgo,Pisces,0.0625,0.5904
113,Virgo,Capricorn,0.04487179487179487,0.7294
114,Virgo,Taurus,0.060240963855421686,0.7232
115,Virgo,Libra,0.08064516129032258,0.0967
116,Virgo,Gemini,0.04854368932038835,0.8785
117,Virgo,Virgo,0.05521472392638037,0.8573
118,Virgo,Aries,0.04142011834319527,0.6115
119,Virgo,Cancer,0.05759162303664921,0.7439
120,Aries,Leo,0.05,1.0
121,Aries,Aquarius,0.045454545454545456,0.8605
122,Aries,Sagittarius,0.05,1.0
123,Aries,Scorpio,0.028368794326241134,0.2534
124,Aries,Pisces,0.039735099337748346,0.5845
125,Aries,Capricorn,0.0273224043715847,0.177
126,Aries,Taurus,0.033707865168539325,0.3086
127,Aries,Libra,0.052941176470588235,1.0
128,Aries,Gemini,0.047058823529411764,0.8633
129,Aries,Virgo,0.02577319587628866,0.1002
130,Aries,Aries,0.057692307692307696,0.8561
131,Aries,Cancer,0.040697674418604654,0.609
132,Cancer,Leo,0.0782122905027933,0.1294
133,Cancer,Aquarius,0.08163265306122448,0.0719
134,Cancer,Sagittarius,0.04938271604938271,1.0
135,Cancer,Scorpio,0.03164556962025317,0.2854
136,Cancer,Pisces,0.065,0.4215
137,Cancer,Capricorn,0.04819277108433735,0.8701
138,Cancer,Taurus,0.04395604395604396,0.7348
139,Cancer,Libra,0.03910614525139665,0.4932
140,Cancer,Gemini,0.037037037037037035,0.4108
141,Cancer,Virgo,0.05714285714285714,0.864
142,Cancer,Aries,0.047058823529411764,0.8703
143,Cancer,Cancer,0.07772020725388601,0.1329
