,M_Sign,F_Sign,p_hat,p-value
106,Gemini,Aries,0.034482758620689655,0.3096
107,Gemini,Cancer,0.0223463687150838,0.0861
108,Virgo,Leo,0.0861244019138756,0.0303
109,Virgo,Aquarius,0.034482758620689655,0.3603
110,Virgo,Sagittarius,0.04371584699453552,0.7424
111,Virgo,Scorpio,0.07692307692307693,0.141
112,Virgo,Pisces,0.0625,0.5935
113,Virgo,Capricorn,0.04487179487179487,0.7228
114,Virgo,Taurus,0.060240963855421686,0.7297
115,Virgo,Libra,0.08064516129032258,0.0915
116,Virgo,Gemini,0.04854368932038835,0.8769
117,Virgo,Virgo,0.05521472392638037,0.8581
118,Virgo,Aries,0.04142011834319527,0.6009
119,Virgo,Cancer,0.05759162303664921,0.7381
120,Aries,Leo,0.05,1.0
121,Aries,Aquarius,0.045454545454545456,0.8556
122,Aries,Sagittarius,0.05,1.0
123,Aries,Scorpio,0.028368794326241134,0.2587
124,Aries,Pisces,0.039735099337748346,0.5849
125,Aries,Capricorn,0.0273224043715847,0.1925
126,Aries,Taurus,0.033707865168539325,0.3124
127,Aries,Libra,0.052941176470588235,1.0
128,Aries,Gemini,0.047058823529411764,0.8647
129,Aries,Virgo,0.02577319587628866,0.1024
130,Aries,Aries,0.057692307692307696,0.8433
131,Aries,Cancer,0.040697674418604654,0.6019
132,Cancer,Leo,0.0782122905027933,0.1211
133,Cancer,Aquarius,0.08163265306122448,0.0737
134,Cancer,Sagittarius,0.04938271604938271,1.0
135,Cancer,Scorpio,0.03164556962025317,0.2818
136,Cancer,Pisces,0.065,0.4313
137,Cancer,Capricorn,0.04819277108433735,0.8686
138,Cancer,Taurus,0.04395604395604396,0.737
139,Cancer,Libra,0.03910614525139665,0.4988
140,Cancer,Gemini,0.037037037037037035,0.4142
141,Cancer,Virgo,0.05714285714285714,0.8613
142,Cancer,Aries,0.047058823529411764,0.866
143,Cancer,Cancer,0.07772020725388601,0.1352
